Book Name,Author,Rating,Price,Description,Number of Reviews,Listening Minutes,Genres,Review_Group,Author_Book_Count,Author_Popularity_Group
"Fresh Floods: Ponniyin Selvan, Book 1",Kalki R. Krishnamurthy,4.7,836.0,"Ponniyin Selvan is Kalki’s magnum opus based in the 10th century and presents the early life of Rajaraja and the kings of Chozha Empire. Though written more than 60 years ago, this saga is timeless, reeling the listeners in its gripping plot which is interwoven with intrigue, conspiracies, and romance. ",44.0,927.0,"['Classic Literature', 'Classic Fiction (Books)']",Low,1,Low
Forever My Saint: A Dark Romance,Monica James,4.6,836.0,"All hope was lost until Zoey Hennessy walked back into my world, shaking it up beyond repair when she uttered two simple words.",44.0,620.0,"['Romantic Suspense', 'Romance (Books)']",Low,1,Low
The Closer's Survival Guide - Third Edition,Grant Cardone,4.3,668.0,Learn to close and you will never be without work or without money! ,44.0,333.0,"['Business Careers', 'Personal Development & Self-Help', 'Business & Economics']",Low,5,High
Angel Prayer Meditations: Harnessing the Help of Heaven to Create Miracles,Kyle Gray,4.4,379.0,"Connecting to your angels is a two way process. The first step is through prayer; the second step is through meditation. If prayer is speaking, meditation is listening.",44.0,47.0,"['Meditation', 'Meditation (Books)', 'Mind, Body & Spirit']",Low,2,Medium
"The Day the Jerk Started Falling: Jerk Duet Series, Book 2",Max Monroe,4.7,586.0,,43.0,,,Low,1,Low
10 Skills for Effective Business Communication: Practical Strategies from the World's Greatest Leaders,Jessica Higgins JD MBA BB,4.6,501.0,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.  ,45.0,,,Low,1,Low
Solving Problems with Design Thinking: Ten Stories of What Works,Jeanne Liedtka,4.5,668.0,,43.0,,,Low,1,Low
A Most Elegant Equation: Euler’s Formula and the Beauty of Mathematics,David Stipp,4.3,703.0,,43.0,,,Low,1,Low
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,0.0,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",43.0,439.0,"['Entrepreneurship', 'Small Businesses', 'Business Management']",Low,1,Low
How Not to Make a Short Film: Secrets from a Sundance Programmer,Roberta Marie Munroe,4.3,469.0,"Anyone can make a short film, right? Just grab some friends and your handheld and you can do it in a weekend or two before being accepted to a slew of film festivals, right? ",43.0,,,Low,1,Low
"Positive Discipline Parenting Tools: The 49 Most Effective Methods to Stop Power Struggles, Build Communication, and Raise Empowered, Capable Kids",Jane Nelsen Ed.D.,4.8,1005.0,"Do you wish there was a way to raise well-behaved children without punishment? Are you afraid the only alternative is being overly indulgent? With Positive Discipline, an encouragement model based on both kindness and firmness, you don't have to choose between these two extremes. Using these 49 Positive Discipline tools honed and perfected after years of real-world research and feedback, you'll be able to work with your children instead of against them. ",45.0,688.0,"['Conflict Management', 'Child Psychology', 'Parenting']",Low,1,Low
Common Sense on Mutual Funds: Fully Updated 10th Anniversary Edition,John C Bogle,4.3,1641.0,"John Bogle - founder of the Vanguard Mutual Fund Group and creator of the first index mutual fund - is an industry pioneer. Over the years, he has single-handedly transformed the mutual fund business, and today, his vision continues to inspire investors .It has been over a decade since the original edition of Common Sense on Mutual Funds was first published. While much has changed during this time, the importance of investing and the issues addressed in the original edition of this book have not. Now, in the Fully Updated 10th Anniversary Edition of Common Sense on Mutual Funds, Bogle returns to update his in-depth look at mutual funds and the business of investing - helping you navigate through the staggering array of investment options found in today's evolving investment landscape.",42.0,1249.0,"['Mutual Funds', 'Personal Finance', 'Analysis & Strategy']",Low,1,Low
The Audacity of Hope (excerpt),Barack Obama,4.4,0.0,"At the heart of this audiobook is Senator Obama's vision of how we can move beyond our divisions to tackle concrete problems. Underlying his stories about family, friends, members of the Senate, and even the president is a vigorous search for connection: the foundation for a radically hopeful political consensus.",42.0,4.0,"['Philosophy', 'Political Science', 'Social Sciences']",Low,2,Medium
"Learn, Improve, Master: How to Develop Any Skill and Excel at It",Nicolas Velasquez,4.8,351.0,Develop the power to learn and master any skill. ,42.0,331.0,"['Personal Success', 'Personal Development & Self-Help']",Low,1,Low
"Easy Money, Book 2: The Evolution of the Global Financial System to the Great Bubble Burst",Vivek Kaul,4.8,836.0,"The second book in the Easy Money trilogy discusses how the global financial system evolved in the aftermath of the First World War and how that finally led to the dot-com crash in the United States, in the early 2000s. It gives an overview of how in the aftermath of the First World War, Europe was in major trouble. The book also analyzes how the United Kingdom of Great Britain, which was once the premier nation of the world, lost out to its former colony, the United States of America. ",42.0,663.0,"['Economic History', 'World History', 'Economic History (Books)']",Low,2,Medium
A Semi Definitive List of Worst Nightmares,Krystal Sutherland,4.8,1328.0,,43.0,,,Low,1,Low
A Practical Guide to Child Psychology: Practical Guide Series,Kairen Cullen,4.3,569.0,,43.0,,,Low,1,Low
Titan: Inside India's Most Successful Consumer Brand,Vinay Kamath,4.4,668.0,"When Titan Company Limited launched its quartz watches some 30 years ago, the founders - a merry bunch of Tata employees who started out simply wanting 'to do something different' - could not have foreseen just how completely they would capture the imagination of Indian consumers in the post-liberalization era of the 1990s. The brand they created - at first against tremendous odds and restrictive norms - injected freshness into the market and in retail spaces through its cutting-edge marketing strategy and empathetic advertising. Not only did the new watchmakers on the block transform watches from being utilitarian objects to fashion statements, but it also systematically ventured into areas untapped by corporate entities with its brands Titan, Tanishq, Titan Eyeplus, Skinn and Taneira and established itself as a winner across multiple verticals. ",42.0,420.0,"['Business & Careers', 'Industries', 'Analysis & Strategy']",Low,1,Low
Parenting from the Inside Out: How a Deeper Self-Understanding Can Help You Raise Children Who Thrive,Daniel J. Siegel,4.4,670.0,"""Dan Siegel and Mary Hartzell have quite deftly managed to translate highly complex neuroscientific and psychological matters into lay strategies for effective parenting."" (Marilyn B. Benoit, M.D., former president, American Academy of Child & Adolescent Psychiatry). ",42.0,,,Low,4,Medium
"Lean Mastery Collection: 8 Manuscripts: Lean Six Sigma, Lean Startup, Lean Enterprise, Lean Analytics, Agile Project Management, Kanban, Scrum, Kaizen",Jeffrey Ries,4.3,836.0,Eight audiobooks in one bundle.,41.0,648.0,"['Project Management', 'Analysis & Strategy', 'Sciences, Technology & Medicine (Books)']",Low,1,Low
Monsieur Lecoq: Volume I,Emile Gaboriau,3.8,670.0,,41.0,,,Low,1,Low
